model,item_id,pair_id,language,phenomenon,forced,logprob_A,logprob_B,n_tokens_A,n_tokens_B,choice,congruent
Qwen/Qwen2.5-0.5B,si15_zh,si15,zh,scalar_implicature,A,-31.7156,-37.4602,13,13,A,1
Qwen/Qwen2.5-0.5B,si16_en,si16,en,scalar_implicature,B,-26.8035,-20.4613,13,14,B,1
Qwen/Qwen2.5-0.5B,si16_zh,si16,zh,scalar_implicature,B,-40.9397,-29.4176,13,13,B,1
Qwen/Qwen2.5-0.5B,sc01_en,sc01,en,scope,A,-25.1144,-36.6223,11,12,A,1
Qwen/Qwen2.5-0.5B,sc01_zh,sc01,zh,scope,A,-20.6959,-20.5747,8,7,B,0
Qwen/Qwen2.5-0.5B,sc02_en,sc02,en,scope,B,-29.5978,-24.06,11,9,B,1
Qwen/Qwen2.5-0.5B,sc02_zh,sc02,zh,scope,B,-18.8097,-15.4442,9,10,B,1
Qwen/Qwen2.5-0.5B,sc03_en,sc03,en,scope,A,-16.5995,-28.6929,8,10,A,1
Qwen/Qwen2.5-0.5B,sc03_zh,sc03,zh,scope,A,-14.1186,-19.4267,7,7,A,1
Qwen/Qwen2.5-0.5B,sc04_en,sc04,en,scope,B,-27.8908,-19.0084,11,9,B,1
Qwen/Qwen2.5-0.5B,sc04_zh,sc04,zh,scope,B,-23.1325,-23.0633,8,9,B,1
Qwen/Qwen2.5-0.5B,sc05_en,sc05,en,scope,A,-24.1366,-22.7828,11,11,B,0
Qwen/Qwen2.5-0.5B,sc05_zh,sc05,zh,scope,A,-14.2698,-12.7283,7,8,B,0
Qwen/Qwen2.5-0.5B,sc06_en,sc06,en,scope,B,-28.1326,-33.705,9,13,A,0
Qwen/Qwen2.5-0.5B,sc06_zh,sc06,zh,scope,B,-18.1417,-16.9485,9,8,B,1
Qwen/Qwen2.5-0.5B,sc07_en,sc07,en,scope,A,-24.3018,-18.1859,11,9,B,0
Qwen/Qwen2.5-0.5B,sc07_zh,sc07,zh,scope,A,-17.2445,-17.4491,7,8,A,1
Qwen/Qwen2.5-0.5B,sc08_en,sc08,en,scope,B,-28.6325,-33.4777,9,10,A,0
Qwen/Qwen2.5-0.5B,sc08_zh,sc08,zh,scope,B,-21.8316,-19.5991,8,6,B,1
Qwen/Qwen2.5-0.5B,sc09_en,sc09,en,scope,A,-21.0821,-23.1919,10,11,A,1
Qwen/Qwen2.5-0.5B,sc09_zh,sc09,zh,scope,A,-14.9495,-19.9639,8,7,A,1
Qwen/Qwen2.5-0.5B,sc10_en,sc10,en,scope,B,-27.1585,-18.6687,10,8,B,1
Qwen/Qwen2.5-0.5B,sc10_zh,sc10,zh,scope,B,-19.5199,-14.3248,6,7,B,1
Qwen/Qwen2.5-0.5B,sc11_en,sc11,en,scope,A,-21.2007,-29.7482,8,10,A,1
Qwen/Qwen2.5-0.5B,sc11_zh,sc11,zh,scope,A,-19.8787,-18.706,8,7,B,0
Qwen/Qwen2.5-0.5B,sc12_en,sc12,en,scope,B,-32.6934,-17.2847,10,8,B,1
Qwen/Qwen2.5-0.5B,sc12_zh,sc12,zh,scope,B,-22.8281,-18.9215,8,9,B,1
Qwen/Qwen2.5-0.5B,sc13_en,sc13,en,scope,A,-27.6847,-26.56,11,9,B,0
Qwen/Qwen2.5-0.5B,sc13_zh,sc13,zh,scope,A,-18.1691,-20.2538,8,8,A,1
Qwen/Qwen2.5-0.5B,sc14_en,sc14,en,scope,B,-22.3258,-28.2709,8,10,A,0
Qwen/Qwen2.5-0.5B,sc14_zh,sc14,zh,scope,B,-15.6285,-15.2427,8,7,B,1
Qwen/Qwen2.5-0.5B,sc15_en,sc15,en,scope,A,-34.546,-29.9315,10,10,B,0
Qwen/Qwen2.5-0.5B,sc15_zh,sc15,zh,scope,A,-23.1625,-30.5418,7,8,A,1
Qwen/Qwen2.5-0.5B,sc16_en,sc16,en,scope,B,-25.0034,-29.9244,10,12,A,0
Qwen/Qwen2.5-0.5B,sc16_zh,sc16,zh,scope,B,-18.9913,-20.9746,9,8,A,0
Qwen/Qwen2.5-0.5B,nu01_en,nu01,en,numeral,A,-36.993,-39.8456,11,12,A,1
Qwen/Qwen2.5-0.5B,nu01_zh,nu01,zh,numeral,A,-41.4647,-41.4161,12,10,B,0
Qwen/Qwen2.5-0.5B,nu02_en,nu02,en,numeral,B,-37.9916,-43.6298,8,9,A,0
Qwen/Qwen2.5-0.5B,nu02_zh,nu02,zh,numeral,B,-33.1735,-26.759,8,6,B,1
Qwen/Qwen2.5-0.5B,nu03_en,nu03,en,numeral,A,-21.4668,-25.6679,8,9,A,1
Qwen/Qwen2.5-0.5B,nu03_zh,nu03,zh,numeral,A,-22.1053,-35.4509,7,10,A,1
Qwen/Qwen2.5-0.5B,nu04_en,nu04,en,numeral,B,-31.3942,-28.7819,10,10,B,1
Qwen/Qwen2.5-0.5B,nu04_zh,nu04,zh,numeral,B,-35.5929,-33.3638,8,9,B,1
Qwen/Qwen2.5-0.5B,nu05_en,nu05,en,numeral,A,-33.6108,-24.2258,11,10,B,0
Qwen/Qwen2.5-0.5B,nu05_zh,nu05,zh,numeral,A,-27.7873,-31.3656,8,9,A,1
Qwen/Qwen2.5-0.5B,nu06_en,nu06,en,numeral,B,-41.1084,-58.6596,13,15,A,0
Qwen/Qwen2.5-0.5B,nu06_zh,nu06,zh,numeral,B,-45.8569,-35.3479,13,11,B,1
Qwen/Qwen2.5-0.5B,nu07_en,nu07,en,numeral,A,-31.0167,-26.6186,14,14,B,0
Qwen/Qwen2.5-0.5B,nu07_zh,nu07,zh,numeral,A,-34.9002,-40.0506,13,13,A,1
Qwen/Qwen2.5-0.5B,nu08_en,nu08,en,numeral,B,-28.1094,-28.3875,11,12,A,0
Qwen/Qwen2.5-0.5B,nu08_zh,nu08,zh,numeral,B,-38.8646,-35.7374,13,11,B,1
Qwen/Qwen2.5-0.5B,nu09_en,nu09,en,numeral,A,-29.6875,-32.6912,7,8,A,1
Qwen/Qwen2.5-0.5B,nu09_zh,nu09,zh,numeral,A,-35.9333,-40.5547,12,12,A,1
Qwen/Qwen2.5-0.5B,nu10_en,nu10,en,numeral,B,-41.4783,-33.0667,9,10,B,1
Qwen/Qwen2.5-0.5B,nu10_zh,nu10,zh,numeral,B,-42.3031,-30.9899,12,11,B,1
Qwen/Qwen2.5-0.5B,nu11_en,nu11,en,numeral,A,-30.0303,-35.9943,10,10,A,1
Qwen/Qwen2.5-0.5B,nu11_zh,nu11,zh,numeral,A,-38.2004,-34.6741,10,9,B,0
Qwen/Qwen2.5-0.5B,nu12_en,nu12,en,numeral,B,-42.0056,-25.3621,9,9,B,1
Qwen/Qwen2.5-0.5B,nu12_zh,nu12,zh,numeral,B,-55.5216,-36.1273,12,10,B,1
Qwen/Qwen2.5-0.5B,nu13_en,nu13,en,numeral,A,-37.108,-43.9013,13,13,A,1
Qwen/Qwen2.5-0.5B,nu13_zh,nu13,zh,numeral,A,-34.7449,-47.7794,11,11,A,1
Qwen/Qwen2.5-0.5B,nu14_en,nu14,en,numeral,B,-33.3251,-41.3396,10,12,A,0
Qwen/Qwen2.5-0.5B,nu14_zh,nu14,zh,numeral,B,-42.7553,-39.1576,13,12,B,1
Qwen/Qwen2.5-0.5B,nu15_en,nu15,en,numeral,A,-46.9544,-52.3861,13,12,A,1
Qwen/Qwen2.5-0.5B,nu15_zh,nu15,zh,numeral,A,-51.2464,-50.9423,15,14,B,0
Qwen/Qwen2.5-0.5B,nu16_en,nu16,en,numeral,B,-38.5872,-32.862,11,13,B,1
Qwen/Qwen2.5-0.5B,nu16_zh,nu16,zh,numeral,B,-25.6083,-22.1982,7,7,B,1
Qwen/Qwen2.5-0.5B,di01_en,di01,en,distributivity,A,-40.7874,-39.5545,10,10,B,0
Qwen/Qwen2.5-0.5B,di01_zh,di01,zh,distributivity,A,-36.8814,-31.102,11,10,B,0
Qwen/Qwen2.5-0.5B,di02_en,di02,en,distributivity,B,-26.469,-25.4417,11,10,B,1
Qwen/Qwen2.5-0.5B,di02_zh,di02,zh,distributivity,B,-20.7508,-27.8069,8,8,A,0
Qwen/Qwen2.5-0.5B,di03_en,di03,en,distributivity,A,-27.9806,-36.978,10,12,A,1
Qwen/Qwen2.5-0.5B,di03_zh,di03,zh,distributivity,A,-37.3881,-48.0367,8,12,A,1
Qwen/Qwen2.5-0.5B,di04_en,di04,en,distributivity,B,-32.5214,-38.0179,13,13,A,0
Qwen/Qwen2.5-0.5B,di04_zh,di04,zh,distributivity,B,-42.1403,-38.8092,13,11,B,1
Qwen/Qwen2.5-0.5B,di05_en,di05,en,distributivity,A,-41.1507,-39.6851,14,13,B,0
Qwen/Qwen2.5-0.5B,di05_zh,di05,zh,distributivity,A,-43.0976,-33.3688,13,11,B,0
Qwen/Qwen2.5-0.5B,di06_en,di06,en,distributivity,B,-32.7119,-25.4465,8,7,B,1
Qwen/Qwen2.5-0.5B,di06_zh,di06,zh,distributivity,B,-42.2459,-32.1903,9,10,B,1
Qwen/Qwen2.5-0.5B,di07_en,di07,en,distributivity,A,-38.5471,-47.848,13,12,A,1
Qwen/Qwen2.5-0.5B,di07_zh,di07,zh,distributivity,A,-37.5042,-37.9138,13,13,A,1
Qwen/Qwen2.5-0.5B,di08_en,di08,en,distributivity,B,-39.6322,-46.1148,12,12,A,0
Qwen/Qwen2.5-0.5B,di08_zh,di08,zh,distributivity,B,-47.1322,-45.7613,15,14,B,1
Qwen/Qwen2.5-0.5B,di09_en,di09,en,distributivity,A,-40.0448,-43.1884,10,10,A,1
Qwen/Qwen2.5-0.5B,di09_zh,di09,zh,distributivity,A,-31.9737,-46.279,10,13,A,1
Qwen/Qwen2.5-0.5B,di10_en,di10,en,distributivity,B,-37.7452,-32.1217,14,10,B,1
Qwen/Qwen2.5-0.5B,di10_zh,di10,zh,distributivity,B,-30.7741,-22.1863,11,8,B,1
Qwen/Qwen2.5-0.5B,di11_en,di11,en,distributivity,A,-42.668,-31.5302,10,10,B,0
Qwen/Qwen2.5-0.5B,di11_zh,di11,zh,distributivity,A,-37.8151,-30.6129,10,13,B,0
Qwen/Qwen2.5-0.5B,di12_en,di12,en,distributivity,B,-37.1001,-43.2971,11,10,A,0
Qwen/Qwen2.5-0.5B,di12_zh,di12,zh,distributivity,B,-45.3185,-37.2974,13,9,B,1
Qwen/Qwen2.5-0.5B,di13_en,di13,en,distributivity,A,-26.7631,-42.8545,13,13,A,1
Qwen/Qwen2.5-0.5B,di13_zh,di13,zh,distributivity,A,-28.0434,-46.939,8,12,A,1
Qwen/Qwen2.5-0.5B,di14_en,di14,en,distributivity,B,-40.0753,-40.47,10,10,A,0
Qwen/Qwen2.5-0.5B,di14_zh,di14,zh,distributivity,B,-52.9074,-38.0959,10,9,B,1
Qwen/Qwen2.5-0.5B,di15_en,di15,en,distributivity,A,-31.8077,-49.7725,8,9,A,1
Qwen/Qwen2.5-0.5B,di15_zh,di15,zh,distributivity,A,-33.8945,-60.815,7,11,A,1
Qwen/Qwen2.5-0.5B,di16_en,di16,en,distributivity,B,-42.2099,-37.1928,8,8,B,1
Qwen/Qwen2.5-0.5B,di16_zh,di16,zh,distributivity,B,-53.9625,-40.3228,11,10,B,1
distilgpt2,si01_en,si01,en,scalar_implicature,A,-21.4362,-20.5751,11,11,B,0
distilgpt2,si02_en,si02,en,scalar_implicature,B,-20.9172,-19.6025,11,9,B,1
distilgpt2,si03_en,si03,en,scalar_implicature,A,-34.0321,-25.3618,9,10,B,0
distilgpt2,si04_en,si04,en,scalar_implicature,B,-24.0925,-19.5215,10,8,B,1
distilgpt2,si05_en,si05,en,scalar_implicature,A,-20.3572,-22.4937,11,11,A,1
distilgpt2,si06_en,si06,en,scalar_implicature,B,-23.0388,-24.462,10,9,A,0
distilgpt2,si07_en,si07,en,scalar_implicature,A,-27.1214,-22.9628,11,11,B,0
distilgpt2,si08_en,si08,en,scalar_implicature,B,-25.8602,-25.4335,12,9,B,1
distilgpt2,si09_en,si09,en,scalar_implicature,A,-48.5835,-42.6822,13,13,B,0
distilgpt2,si10_en,si10,en,scalar_implicature,B,-33.7171,-37.503,13,13,A,0
distilgpt2,si11_en,si11,en,scalar_implicature,A,-47.513,-46.4704,13,14,B,0
distilgpt2,si12_en,si12,en,scalar_implicature,B,-25.5315,-22.7339,13,13,B,1
distilgpt2,si13_en,si13,en,scalar_implicature,A,-38.1195,-42.1431,15,16,A,1
distilgpt2,si14_en,si14,en,scalar_implicature,B,-56.3506,-52.975,13,14,B,1
distilgpt2,si15_en,si15,en,scalar_implicature,A,-50.8752,-40.8429,13,13,B,0
distilgpt2,si16_en,si16,en,scalar_implicature,B,-29.3229,-23.3514,13,14,B,1
distilgpt2,sc01_en,sc01,en,scope,A,-36.915,-37.6903,11,12,A,1
distilgpt2,sc02_en,sc02,en,scope,B,-41.8416,-32.3239,11,9,B,1
distilgpt2,sc03_en,sc03,en,scope,A,-24.6088,-33.0497,8,10,A,1
distilgpt2,sc04_en,sc04,en,scope,B,-33.9177,-30.1781,11,9,B,1
distilgpt2,sc05_en,sc05,en,scope,A,-35.2379,-34.5586,11,11,B,0
distilgpt2,sc06_en,sc06,en,scope,B,-35.6383,-40.4005,9,13,A,0
distilgpt2,sc07_en,sc07,en,scope,A,-28.4639,-30.7072,11,9,A,1
distilgpt2,sc08_en,sc08,en,scope,B,-36.9246,-39.2215,9,10,A,0
distilgpt2,sc09_en,sc09,en,scope,A,-32.2871,-37.5254,10,11,A,1
distilgpt2,sc10_en,sc10,en,scope,B,-28.0341,-27.213,10,8,B,1
distilgpt2,sc11_en,sc11,en,scope,A,-31.0938,-35.2823,8,10,A,1
distilgpt2,sc12_en,sc12,en,scope,B,-28.0298,-25.51,10,8,B,1
distilgpt2,sc13_en,sc13,en,scope,A,-38.317,-34.3146,11,9,B,0
distilgpt2,sc14_en,sc14,en,scope,B,-27.0028,-26.871,8,10,B,1
distilgpt2,sc15_en,sc15,en,scope,A,-39.9744,-41.5701,10,10,A,1
distilgpt2,sc16_en,sc16,en,scope,B,-36.2168,-41.6029,10,12,A,0
distilgpt2,nu01_en,nu01,en,numeral,A,-37.1626,-40.6974,11,12,A,1
distilgpt2,nu02_en,nu02,en,numeral,B,-30.2308,-27.2453,8,9,B,1
distilgpt2,nu03_en,nu03,en,numeral,A,-26.3665,-32.6078,8,9,A,1
distilgpt2,nu04_en,nu04,en,numeral,B,-34.3914,-29.5732,10,10,B,1
distilgpt2,nu05_en,nu05,en,numeral,A,-40.529,-31.9009,11,10,B,0
distilgpt2,nu06_en,nu06,en,numeral,B,-50.4993,-61.7557,13,15,A,0
distilgpt2,nu07_en,nu07,en,numeral,A,-40.2813,-36.504,14,14,B,0
distilgpt2,nu08_en,nu08,en,numeral,B,-33.8922,-30.0342,11,12,B,1
distilgpt2,nu09_en,nu09,en,numeral,A,-23.7744,-25.3418,7,10,A,1
distilgpt2,nu10_en,nu10,en,numeral,B,-30.4554,-24.9744,8,9,B,1
distilgpt2,nu11_en,nu11,en,numeral,A,-45.003,-31.1669,10,10,B,0
distilgpt2,nu12_en,nu12,en,numeral,B,-41.2202,-31.4131,9,9,B,1
distilgpt2,nu13_en,nu13,en,numeral,A,-38.8272,-41.5393,13,13,A,1
distilgpt2,nu14_en,nu14,en,numeral,B,-37.3085,-38.1422,10,12,A,0
distilgpt2,nu15_en,nu15,en,numeral,A,-44.1366,-43.8795,13,12,B,0
distilgpt2,nu16_en,nu16,en,numeral,B,-46.6549,-43.8299,11,13,B,1
distilgpt2,di01_en,di01,en,distributivity,A,-39.8244,-41.4063,10,10,A,1
distilgpt2,di02_en,di02,en,distributivity,B,-32.7517,-30.7529,11,10,B,1
distilgpt2,di03_en,di03,en,distributivity,A,-34.1464,-43.3545,10,12,A,1
distilgpt2,di04_en,di04,en,distributivity,B,-45.0262,-49.0685,13,13,A,0
distilgpt2,di05_en,di05,en,distributivity,A,-43.9542,-45.9294,14,14,A,1
distilgpt2,di06_en,di06,en,distributivity,B,-42.8185,-28.663,8,7,B,1
distilgpt2,di07_en,di07,en,distributivity,A,-44.1077,-36.1404,13,12,B,0
distilgpt2,di08_en,di08,en,distributivity,B,-46.2012,-58.4874,12,12,A,0
distilgpt2,di09_en,di09,en,distributivity,A,-45.5099,-59.5727,10,10,A,1
distilgpt2,di10_en,di10,en,distributivity,B,-47.3637,-32.4006,14,10,B,1
distilgpt2,di11_en,di11,en,distributivity,A,-46.8524,-42.7513,10,10,B,0
distilgpt2,di12_en,di12,en,distributivity,B,-46.934,-52.9083,11,10,A,0
distilgpt2,di13_en,di13,en,distributivity,A,-32.9879,-44.223,13,14,A,1
distilgpt2,di14_en,di14,en,distributivity,B,-37.6698,-38.984,10,10,A,0
distilgpt2,di15_en,di15,en,distributivity,A,-31.4653,-46.0609,8,9,A,1
distilgpt2,di16_en,di16,en,distributivity,B,-39.0417,-35.8678,8,8,B,1
